timestamp,track_id,class,confidence,x,y,width,height
2025-04-30 13:37:16.652920,2,person,0.64,677,515,1091,555
2025-04-30 13:37:16.680474,1,person,0.52,0,585,455,486
2025-04-30 13:37:16.680474,2,person,0.55,678,510,1046,561
2025-04-30 13:37:16.709060,1,person,0.56,0,583,459,488
2025-04-30 13:37:16.709060,2,person,0.55,678,510,1046,561
2025-04-30 13:37:16.734960,1,person,0.61,0,582,465,491
2025-04-30 13:37:16.734960,2,person,0.61,657,498,1082,573
2025-04-30 13:37:16.761072,1,person,0.68,0,582,473,490
2025-04-30 13:37:16.761072,2,person,0.64,674,502,1122,570
2025-04-30 13:37:16.791673,1,person,0.77,0,580,483,491
2025-04-30 13:37:16.791673,2,person,0.67,694,499,1141,572
2025-04-30 13:37:16.818443,1,person,0.79,0,580,503,492
2025-04-30 13:37:16.818443,2,person,0.60,715,496,848,576
2025-04-30 13:37:16.848104,1,person,0.81,0,580,505,493
2025-04-30 13:37:16.848104,2,person,0.67,715,498,1005,573
2025-04-30 13:37:16.872681,1,person,0.81,0,586,498,485
2025-04-30 13:37:16.872681,2,person,0.78,709,497,1109,574
2025-04-30 13:37:16.900007,1,person,0.79,0,592,493,480
2025-04-30 13:37:16.900007,2,person,0.74,697,501,1114,570
2025-04-30 13:37:16.928739,1,person,0.76,0,595,492,477
2025-04-30 13:37:16.928739,2,person,0.61,705,500,847,571
2025-04-30 13:37:16.955625,1,person,0.73,0,593,486,479
2025-04-30 13:37:16.955625,2,person,0.81,679,495,1235,577
2025-04-30 13:37:16.983058,1,person,0.66,0,588,493,484
2025-04-30 13:37:16.983058,2,person,0.82,696,485,1134,583
2025-04-30 13:37:17.010494,1,person,0.77,0,581,509,490
2025-04-30 13:37:17.010494,2,person,0.75,673,494,1169,578
2025-04-30 13:37:17.038044,1,person,0.80,0,580,511,491
2025-04-30 13:37:17.038044,2,person,0.60,700,496,870,575
2025-04-30 13:37:17.065349,1,person,0.82,0,578,509,494
2025-04-30 13:37:17.065349,2,person,0.69,670,497,1154,576
2025-04-30 13:37:17.093302,1,person,0.84,0,578,510,493
2025-04-30 13:37:17.093302,2,person,0.70,678,499,1156,574
2025-04-30 13:37:17.121724,1,person,0.83,0,580,509,494
2025-04-30 13:37:17.121724,2,person,0.75,665,507,1200,565
2025-04-30 13:37:17.149869,1,person,0.80,0,581,509,490
2025-04-30 13:37:17.149869,2,person,0.82,679,511,1234,561
2025-04-30 13:37:17.177801,1,person,0.68,0,585,492,487
2025-04-30 13:37:17.177801,2,person,0.72,681,520,1238,553
2025-04-30 13:37:17.207756,1,person,0.76,0,585,508,486
2025-04-30 13:37:17.207756,2,person,0.78,695,526,1194,550
2025-04-30 13:37:17.236081,1,person,0.80,0,586,510,485
2025-04-30 13:37:17.236081,2,person,0.82,691,530,1229,546
2025-04-30 13:37:17.275170,1,person,0.79,0,585,513,487
2025-04-30 13:37:17.275170,2,person,0.79,702,534,1218,539
2025-04-30 13:37:17.303479,1,person,0.80,0,582,514,490
2025-04-30 13:37:17.303479,2,person,0.78,694,539,1223,534
2025-04-30 13:37:17.331176,1,person,0.77,0,580,512,492
