timestamp,track_id,class,confidence,x,y,width,height
2025-04-27 13:27:24.013477,1,person,0.85,833,507,433,564
2025-04-27 13:27:24.053669,1,person,0.85,834,508,432,563
2025-04-27 13:27:24.092928,1,person,0.86,834,508,431,563
2025-04-27 13:27:24.131449,1,person,0.85,835,508,430,563
2025-04-27 13:27:24.169719,1,person,0.84,834,507,432,565
2025-04-27 13:27:24.210951,1,person,0.84,833,507,433,564
2025-04-27 13:27:24.246883,1,person,0.84,832,507,434,564
